File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/164.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Auto 2
Injection Number	27
Position	3
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:00:30 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000530
Time Max. (min)	8.022197
Data Points	9627
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.471615
Signal Max.	65,140.120443
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.156364	0.05	-3.405599
0.157197	0.05	-3.402995
0.158030	0.05	-3.401693
0.158864	0.05	-3.407031
0.159697	0.05	-3.411068
0.160530	0.05	-3.412240
0.161364	0.05	-3.416016
0.162197	0.05	-3.418229
0.163030	0.05	-3.421484
0.163864	0.05	-3.417578
0.164697	0.05	-3.417839
0.165530	0.05	-3.414844
0.166364	0.05	-3.415104
0.167197	0.05	-3.413672
0.168030	0.05	-3.414974
0.168864	0.05	-3.417839
0.169697	0.05	-3.420443
0.170530	0.05	-3.420052
0.171364	0.05	-3.417969
0.172197	0.05	-3.414583
0.173030	0.05	-3.416536
0.173864	0.05	-3.415755
0.174697	0.05	-3.420443
0.175530	0.05	-3.420573
0.176364	0.05	-3.421875
0.177197	0.05	-3.420833
0.178030	0.05	-3.421094
0.178864	0.05	-3.420182
0.179697	0.05	-3.419922
0.180530	0.05	-3.420052
0.181364	0.05	-3.423958
0.182197	0.05	-3.422656
0.183030	0.05	-3.420313
0.183864	0.05	-3.420052
0.184697	0.05	-3.419922
0.185530	0.05	-3.422656
0.186364	0.05	-3.416146
0.187197	0.05	-3.412240
0.188030	0.05	-3.411719
0.188864	0.05	-3.411068
0.189697	0.05	-3.414714
0.190530	0.05	-3.417578
0.191364	0.05	-3.420703
0.192197	0.05	-3.422005
0.193030	0.05	-3.419010
0.193864	0.05	-3.417708
0.194697	0.05	-3.417448
0.195530	0.05	-3.414583
0.196364	0.05	-3.419531
0.197197	0.05	-3.422005
0.198030	0.05	-3.423698
0.198864	0.05	-3.419271
0.199697	0.05	-3.416146
0.200530	0.05	-3.417708
0.201364	0.05	-3.420313
0.202197	0.05	-3.418359
0.203030	0.05	-3.418490
0.203864	0.05	-3.411849
0.204697	0.05	-3.408854
0.205530	0.05	-3.408203
0.206364	0.05	-3.411979
0.207197	0.05	-3.417708
0.208030	0.05	-3.417839
0.208864	0.05	-3.416276
0.209697	0.05	-3.413802
0.210530	0.05	-3.411589
0.211364	0.05	-3.417708
0.212197	0.05	-3.420703
0.213030	0.05	-3.424219
0.213864	0.05	-3.422656
0.214697	0.05	-3.421484
0.215530	0.05	-3.420964
0.216364	0.05	-3.417708
0.217197	0.05	-3.415885
0.218030	0.05	-3.412500
0.218864	0.05	-3.414714
0.219697	0.05	-3.416536
0.220530	0.05	-3.417969
0.221364	0.05	-3.419401
0.222197	0.05	-3.417188
0.223030	0.05	-3.420182
0.223864	0.05	-3.423177
0.224697	0.05	-3.428646
0.225530	0.05	-3.428906
0.226364	0.05	-3.426563
0.227197	0.05	-3.425911
0.228030	0.05	-3.428125
0.228864	0.05	-3.426693
0.229697	0.05	-3.425781
0.230530	0.05	-3.421094
0.231364	0.05	-3.421224
0.232197	0.05	-3.418750
0.233030	0.05	-3.419661
0.233864	0.05	-3.420052
0.234697	0.05	-3.419531
0.235530	0.05	-3.421875
0.236364	0.05	-3.425911
0.237197	0.05	-3.426693
0.238030	0.05	-3.426953
0.238864	0.05	-3.422135
0.239697	0.05	-3.422786
0.240530	0.05	-3.418490
0.241364	0.05	-3.416927
0.242197	0.05	-3.415234
0.243030	0.05	-3.418229
0.243864	0.05	-3.418880
0.244697	0.05	-3.418880
0.245530	0.05	-3.419010
0.246364	0.05	-3.419792
0.247197	0.05	-3.421745
0.248030	0.05	-3.424349
0.248864	0.05	-3.426042
0.249697	0.05	-3.429688
0.250530	0.05	-3.428516
0.251364	0.05	-3.426432
0.252197	0.05	-3.419531
0.253030	0.05	-3.417318
0.253864	0.05	-3.415495
0.254697	0.05	-3.419792
0.255530	0.05	-3.417057
0.256364	0.05	-3.420182
0.257197	0.05	-3.418880
0.258030	0.05	-3.421354
0.258864	0.05	-3.419141
0.259697	0.05	-3.423047
0.260530	0.05	-3.424479
0.261364	0.05	-3.428385
0.262197	0.05	-3.428255
0.263030	0.05	-3.429948
0.263864	0.05	-3.428125
0.264697	0.05	-3.427474
0.265530	0.05	-3.426432
0.266364	0.05	-3.427995
0.267197	0.05	-3.426042
0.268030	0.05	-3.424609
0.268864	0.05	-3.419661
0.269697	0.05	-3.418490
0.270530	0.05	-3.418359
0.271364	0.05	-3.419922
0.272197	0.05	-3.417578
0.273030	0.05	-3.419141
0.273864	0.05	-3.420703
0.274697	0.05	-3.427083
0.275530	0.05	-3.423568
0.276364	0.05	-3.423828
0.277197	0.05	-3.423177
0.278030	0.05	-3.424609
0.278864	0.05	-3.427995
0.279697	0.05	-3.427083
0.280530	0.05	-3.431641
0.281364	0.05	-3.431510
0.282197	0.05	-3.431250
0.283030	0.05	-3.427083
0.283864	0.05	-3.426172
0.284697	0.05	-3.423828
0.285530	0.05	-3.424870
0.286364	0.05	-3.423177
0.287197	0.05	-3.426953
0.288030	0.05	-3.427344
0.288864	0.05	-3.428125
0.289697	0.05	-3.427474
0.290530	0.05	-3.423958
0.291364	0.05	-3.422917
0.292197	0.05	-3.423828
0.293030	0.05	-3.429167
0.293864	0.05	-3.432552
0.294697	0.05	-3.430990
0.295530	0.05	-3.427995
0.296364	0.05	-3.428776
0.297197	0.05	-3.433203
0.298030	0.05	-3.438021
0.298864	0.05	-3.438151
0.299697	0.05	-3.431510
0.300530	0.05	-3.428125
0.301364	0.05	-3.425000
0.302197	0.05	-3.427214
0.303030	0.05	-3.428125
0.303864	0.05	-3.428385
0.304697	0.05	-3.428516
0.305530	0.05	-3.430339
0.306364	0.05	-3.430990
0.307197	0.05	-3.433073
0.308030	0.05	-3.430208
0.308864	0.05	-3.430469
0.309697	0.05	-3.429427
0.310530	0.05	-3.429297
0.311364	0.05	-3.426563
0.312197	0.05	-3.426302
0.313030	0.05	-3.426172
0.313864	0.05	-3.428516
0.314697	0.05	-3.428255
0.315530	0.05	-3.427604
0.316364	0.05	-3.423568
0.317197	0.05	-3.423568
0.318030	0.05	-3.425000
0.318864	0.05	-3.426823
0.319697	0.05	-3.426042
