File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/677.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	PHB 10ug/mL
Injection Number	34
Position	2
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Calibration Standard
Status	Finished
Injection Date	3/10/2023
Injection Time	5:08:57 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000114
Time Max. (min)	8.022614
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.505339
Signal Max.	64,955.890234
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.300114	0.05	-3.441276
0.300947	0.05	-3.437500
0.301780	0.05	-3.434766
0.302614	0.05	-3.435286
0.303447	0.05	-3.432813
0.304280	0.05	-3.433464
0.305114	0.05	-3.436198
0.305947	0.05	-3.439583
0.306780	0.05	-3.443099
0.307614	0.05	-3.441927
0.308447	0.05	-3.438151
0.309280	0.05	-3.440234
0.310114	0.05	-3.441146
0.310947	0.05	-3.441797
0.311780	0.05	-3.438281
0.312614	0.05	-3.433854
0.313447	0.05	-3.439714
0.314280	0.05	-3.440755
0.315114	0.05	-3.440365
0.315947	0.05	-3.436979
0.316780	0.05	-3.436719
0.317614	0.05	-3.442448
0.318447	0.05	-3.439583
0.319280	0.05	-3.436458
0.320114	0.05	-3.431380
0.320947	0.05	-3.433073
0.321780	0.05	-3.435286
0.322614	0.05	-3.437500
0.323447	0.05	-3.439193
0.324280	0.05	-3.433724
0.325114	0.05	-3.431901
0.325947	0.05	-3.429167
0.326780	0.05	-3.436328
0.327614	0.05	-3.436849
0.328447	0.05	-3.438151
0.329280	0.05	-3.437891
0.330114	0.05	-3.441146
0.330947	0.05	-3.442708
0.331780	0.05	-3.440625
0.332614	0.05	-3.439323
0.333447	0.05	-3.437500
0.334280	0.05	-3.437109
0.335114	0.05	-3.436849
0.335947	0.05	-3.433984
0.336780	0.05	-3.434766
0.337614	0.05	-3.432813
0.338447	0.05	-3.434635
0.339280	0.05	-3.435026
0.340114	0.05	-3.438802
0.340947	0.05	-3.442578
0.341780	0.05	-3.443620
0.342614	0.05	-3.443099
0.343447	0.05	-3.445182
0.344280	0.05	-3.444401
0.345114	0.05	-3.441927
0.345947	0.05	-3.440625
0.346780	0.05	-3.444792
0.347614	0.05	-3.446615
0.348447	0.05	-3.442578
0.349280	0.05	-3.440495
0.350114	0.05	-3.441016
0.350947	0.05	-3.448438
0.351780	0.05	-3.449219
0.352614	0.05	-3.451172
0.353447	0.05	-3.445443
0.354280	0.05	-3.439844
0.355114	0.05	-3.437891
0.355947	0.05	-3.440495
0.356780	0.05	-3.446615
0.357614	0.05	-3.448047
0.358447	0.05	-3.445833
0.359280	0.05	-3.444792
0.360114	0.05	-3.447135
0.360947	0.05	-3.447917
0.361780	0.05	-3.448438
0.362614	0.05	-3.444922
0.363447	0.05	-3.442969
0.364280	0.05	-3.438802
0.365114	0.05	-3.442578
0.365947	0.05	-3.443099
0.366780	0.05	-3.445182
0.367614	0.05	-3.440495
0.368447	0.05	-3.442578
0.369280	0.05	-3.441927
0.370114	0.05	-3.445833
0.370947	0.05	-3.448568
0.371780	0.05	-3.452474
0.372614	0.05	-3.453516
0.373447	0.05	-3.451432
0.374280	0.05	-3.451953
0.375114	0.05	-3.452083
0.375947	0.05	-3.453906
0.376780	0.05	-3.455599
0.377614	0.05	-3.455469
0.378447	0.05	-3.455859
0.379280	0.05	-3.454818
0.380114	0.05	-3.455990
0.380947	0.05	-3.454818
0.381780	0.05	-3.454297
0.382614	0.05	-3.455469
0.383447	0.05	-3.458854
0.384280	0.05	-3.457161
0.385114	0.05	-3.454167
0.385947	0.05	-3.450391
0.386780	0.05	-3.453906
0.387614	0.05	-3.453646
0.388447	0.05	-3.454036
0.389280	0.05	-3.452734
0.390114	0.05	-3.454557
0.390947	0.05	-3.456510
0.391780	0.05	-3.458464
0.392614	0.05	-3.456510
0.393447	0.05	-3.456120
0.394280	0.05	-3.452604
0.395114	0.05	-3.453516
0.395947	0.05	-3.454688
0.396780	0.05	-3.454297
0.397614	0.05	-3.453906
0.398447	0.05	-3.453646
0.399280	0.05	-3.457422
0.400114	0.05	-3.460677
0.400947	0.05	-3.458203
0.401780	0.05	-3.457031
0.402614	0.05	-3.455208
0.403447	0.05	-3.456771
0.404280	0.05	-3.453906
0.405114	0.05	-3.450781
0.405947	0.05	-3.450391
0.406780	0.05	-3.454036
0.407614	0.05	-3.458984
0.408447	0.05	-3.462500
0.409280	0.05	-3.461849
0.410114	0.05	-3.457552
0.410947	0.05	-3.453255
0.411780	0.05	-3.452474
0.412614	0.05	-3.452604
0.413447	0.05	-3.452474
0.414280	0.05	-3.452083
0.415114	0.05	-3.454297
0.415947	0.05	-3.456250
0.416780	0.05	-3.455729
0.417614	0.05	-3.455990
0.418447	0.05	-3.454948
0.419280	0.05	-3.458333
0.420114	0.05	-3.462630
0.420947	0.05	-3.466797
0.421780	0.05	-3.467057
0.422614	0.05	-3.462109
0.423447	0.05	-3.459505
0.424280	0.05	-3.455078
0.425114	0.05	-3.456120
0.425947	0.05	-3.457161
0.426780	0.05	-3.457813
0.427614	0.05	-3.457943
0.428447	0.05	-3.457161
0.429280	0.05	-3.458854
0.430114	0.05	-3.458984
0.430947	0.05	-3.456771
0.431780	0.05	-3.455990
0.432614	0.05	-3.454036
0.433447	0.05	-3.455339
0.434280	0.05	-3.454948
0.435114	0.05	-3.455859
0.435947	0.05	-3.456510
0.436780	0.05	-3.455990
0.437614	0.05	-3.456901
0.438447	0.05	-3.456510
0.439280	0.05	-3.457813
0.440114	0.05	-3.456901
0.440947	0.05	-3.461198
0.441780	0.05	-3.460677
0.442614	0.05	-3.463802
0.443447	0.05	-3.458073
0.444280	0.05	-3.464844
0.445114	0.05	-3.463542
0.445947	0.05	-3.470182
0.446780	0.05	-3.463151
0.447614	0.05	-3.462630
0.448447	0.05	-3.455208
0.449280	0.05	-3.454557
0.450114	0.05	-3.452734
0.450947	0.05	-3.457943
0.451780	0.05	-3.458203
0.452614	0.05	-3.463281
0.453447	0.05	-3.461849
0.454280	0.05	-3.464193
0.455114	0.05	-3.460938
0.455947	0.05	-3.462891
0.456780	0.05	-3.464844
0.457614	0.05	-3.468490
0.458447	0.05	-3.466406
0.459280	0.05	-3.464323
0.460114	0.05	-3.460547
0.460947	0.05	-3.459896
0.461780	0.05	-3.463411
0.462614	0.05	-3.468620
0.463447	0.05	-3.473828
0.464280	0.05	-3.469922
0.465114	0.05	-3.467969
0.465947	0.05	-3.463672
0.466780	0.05	-3.465755
0.467614	0.05	-3.463802
0.468447	0.05	-3.466406
0.469280	0.05	-3.465755
0.470114	0.05	-3.470703
0.470947	0.05	-3.469531
0.471780	0.05	-3.470833
0.472614	0.05	-3.466016
0.473447	0.05	-3.466406
0.474280	0.05	-3.463672
0.475114	0.05	-3.464323
0.475947	0.05	-3.460807
0.476780	0.05	-3.461849
0.477614	0.05	-3.460938
0.478447	0.05	-3.463672
0.479280	0.05	-3.462109
0.480114	0.05	-3.459115
0.480947	0.05	-3.458203
0.481780	0.05	-3.460026
0.482614	0.05	-3.463672
0.483447	0.05	-3.466276
0.484280	0.05	-3.469010
0.485114	0.05	-3.470313
0.485947	0.05	-3.473177
0.486780	0.05	-3.474219
0.487614	0.05	-3.471224
0.488447	0.05	-3.464844
0.489280	0.05	-3.460026
0.490114	0.05	-3.460677
0.490947	0.05	-3.460677
0.491780	0.05	-3.461719
0.492614	0.05	-3.462240
0.493447	0.05	-3.462891
0.494280	0.05	-3.460677
0.495114	0.05	-3.461849
0.495947	0.05	-3.462109
0.496780	0.05	-3.466406
0.497614	0.05	-3.466797
0.498447	0.05	-3.465625
0.499280	0.05	-3.464974
0.500114	0.05	-3.464714
0.500947	0.05	-3.466276
0.501780	0.05	-3.467318
0.502614	0.05	-3.466016
0.503447	0.05	-3.468490
0.504280	0.05	-3.468750
0.505114	0.05	-3.467188
0.505947	0.05	-3.466927
0.506780	0.05	-3.465495
0.507614	0.05	-3.469792
0.508447	0.05	-3.470964
0.509280	0.05	-3.469922
0.510114	0.05	-3.470313
0.510947	0.05	-3.468620
0.511780	0.05	-3.471484
0.512614	0.05	-3.471484
0.513447	0.05	-3.469661
0.514280	0.05	-3.467057
0.515114	0.05	-3.465104
0.515947	0.05	-3.468620
0.516780	0.05	-3.469401
0.517614	0.05	-3.466797
0.518447	0.05	-3.467578
0.519280	0.05	-3.468099
0.520114	0.05	-3.468490
0.520947	0.05	-3.465495
0.521780	0.05	-3.467318
0.522614	0.05	-3.471224
0.523447	0.05	-3.473698
0.524280	0.05	-3.472656
0.525114	0.05	-3.472266
0.525947	0.05	-3.469792
0.526780	0.05	-3.469010
0.527614	0.05	-3.468229
0.528447	0.05	-3.465885
0.529280	0.05	-3.467448
0.530114	0.05	-3.468750
0.530947	0.05	-3.468620
0.531780	0.05	-3.468620
0.532614	0.05	-3.468880
0.533447	0.05	-3.475130
0.534280	0.05	-3.476823
0.535114	0.05	-3.476432
0.535947	0.05	-3.476693
0.536780	0.05	-3.474609
