File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/908.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Form 3
Injection Number	31
Position	7
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:39:28 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000225
Time Max. (min)	8.022725
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.617708
Signal Max.	63,973.105859
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.264392	0.05	-3.581771
0.265225	0.05	-3.579818
0.266058	0.05	-3.573177
0.266892	0.05	-3.569531
0.267725	0.05	-3.567839
0.268558	0.05	-3.572396
0.269392	0.05	-3.575651
0.270225	0.05	-3.579427
0.271058	0.05	-3.581901
0.271892	0.05	-3.577995
0.272725	0.05	-3.575391
0.273558	0.05	-3.569141
0.274392	0.05	-3.570052
0.275225	0.05	-3.566146
0.276058	0.05	-3.566797
0.276892	0.05	-3.571745
0.277725	0.05	-3.578516
0.278558	0.05	-3.582682
0.279392	0.05	-3.581380
0.280225	0.05	-3.578255
0.281058	0.05	-3.575781
0.281892	0.05	-3.574609
0.282725	0.05	-3.573438
0.283558	0.05	-3.571745
0.284392	0.05	-3.569271
0.285225	0.05	-3.571615
0.286058	0.05	-3.571745
0.286892	0.05	-3.574219
0.287725	0.05	-3.575781
0.288558	0.05	-3.576953
0.289392	0.05	-3.574479
0.290225	0.05	-3.571615
0.291058	0.05	-3.574479
0.291892	0.05	-3.577604
0.292725	0.05	-3.576042
0.293558	0.05	-3.575521
0.294392	0.05	-3.573177
0.295225	0.05	-3.573828
0.296058	0.05	-3.573307
0.296892	0.05	-3.573828
0.297725	0.05	-3.570443
0.298558	0.05	-3.568750
0.299392	0.05	-3.566797
0.300225	0.05	-3.571615
0.301058	0.05	-3.572005
0.301892	0.05	-3.575781
0.302725	0.05	-3.577865
0.303558	0.05	-3.579557
0.304392	0.05	-3.576823
0.305225	0.05	-3.574870
0.306058	0.05	-3.574740
0.306892	0.05	-3.575651
0.307725	0.05	-3.577214
0.308558	0.05	-3.579036
0.309392	0.05	-3.581771
0.310225	0.05	-3.581250
0.311058	0.05	-3.583464
0.311892	0.05	-3.582422
0.312725	0.05	-3.582031
0.313558	0.05	-3.577604
0.314392	0.05	-3.576302
0.315225	0.05	-3.575521
0.316058	0.05	-3.572135
0.316892	0.05	-3.572396
0.317725	0.05	-3.575000
0.318558	0.05	-3.574609
0.319392	0.05	-3.574740
0.320225	0.05	-3.571354
0.321058	0.05	-3.576563
0.321892	0.05	-3.578385
0.322725	0.05	-3.582031
0.323558	0.05	-3.581771
0.324392	0.05	-3.581901
0.325225	0.05	-3.582943
0.326058	0.05	-3.581250
0.326892	0.05	-3.576432
0.327725	0.05	-3.572396
0.328558	0.05	-3.576823
0.329392	0.05	-3.579818
0.330225	0.05	-3.578646
0.331058	0.05	-3.573047
0.331892	0.05	-3.574089
0.332725	0.05	-3.578906
0.333558	0.05	-3.583854
0.334392	0.05	-3.586328
0.335225	0.05	-3.582682
0.336058	0.05	-3.578125
0.336892	0.05	-3.572526
0.337725	0.05	-3.572005
0.338558	0.05	-3.574479
0.339392	0.05	-3.577214
0.340225	0.05	-3.580208
0.341058	0.05	-3.578516
0.341892	0.05	-3.578776
0.342725	0.05	-3.578516
0.343558	0.05	-3.580078
0.344392	0.05	-3.580859
0.345225	0.05	-3.579036
0.346058	0.05	-3.577865
0.346892	0.05	-3.579297
0.347725	0.05	-3.582031
0.348558	0.05	-3.584896
0.349392	0.05	-3.585156
0.350225	0.05	-3.584635
0.351058	0.05	-3.586849
0.351892	0.05	-3.583984
0.352725	0.05	-3.585026
0.353558	0.05	-3.579948
0.354392	0.05	-3.579818
0.355225	0.05	-3.572656
0.356058	0.05	-3.572917
0.356892	0.05	-3.569401
0.357725	0.05	-3.572656
0.358558	0.05	-3.573828
0.359392	0.05	-3.577995
0.360225	0.05	-3.577734
0.361058	0.05	-3.576693
0.361892	0.05	-3.578516
0.362725	0.05	-3.581771
0.363558	0.05	-3.580859
0.364392	0.05	-3.577083
0.365225	0.05	-3.574609
0.366058	0.05	-3.573698
0.366892	0.05	-3.576042
0.367725	0.05	-3.578516
0.368558	0.05	-3.584766
0.369392	0.05	-3.585417
0.370225	0.05	-3.582682
0.371058	0.05	-3.575391
0.371892	0.05	-3.576693
0.372725	0.05	-3.576563
0.373558	0.05	-3.579297
0.374392	0.05	-3.576563
0.375225	0.05	-3.577604
0.376058	0.05	-3.575911
0.376892	0.05	-3.576563
0.377725	0.05	-3.577474
0.378558	0.05	-3.582161
0.379392	0.05	-3.584375
0.380225	0.05	-3.584635
0.381058	0.05	-3.582031
0.381892	0.05	-3.582552
0.382725	0.05	-3.583984
0.383558	0.05	-3.585547
0.384392	0.05	-3.580990
0.385225	0.05	-3.577474
0.386058	0.05	-3.574870
0.386892	0.05	-3.578646
0.387725	0.05	-3.575521
0.388558	0.05	-3.574089
0.389392	0.05	-3.572266
0.390225	0.05	-3.576172
0.391058	0.05	-3.576302
0.391892	0.05	-3.572005
0.392725	0.05	-3.569661
0.393558	0.05	-3.575391
0.394392	0.05	-3.579297
0.395225	0.05	-3.584635
0.396058	0.05	-3.583464
0.396892	0.05	-3.582552
0.397725	0.05	-3.581120
0.398558	0.05	-3.578125
0.399392	0.05	-3.582161
0.400225	0.05	-3.585677
0.401058	0.05	-3.585026
0.401892	0.05	-3.583854
0.402725	0.05	-3.579297
0.403558	0.05	-3.581250
0.404392	0.05	-3.583464
0.405225	0.05	-3.585156
0.406058	0.05	-3.587500
0.406892	0.05	-3.585938
0.407725	0.05	-3.585417
0.408558	0.05	-3.582292
0.409392	0.05	-3.580469
0.410225	0.05	-3.581771
0.411058	0.05	-3.584505
0.411892	0.05	-3.584635
0.412725	0.05	-3.584896
0.413558	0.05	-3.583724
0.414392	0.05	-3.586719
0.415225	0.05	-3.589063
0.416058	0.05	-3.590625
0.416892	0.05	-3.593359
0.417725	0.05	-3.593359
0.418558	0.05	-3.591276
0.419392	0.05	-3.592057
0.420225	0.05	-3.591667
0.421058	0.05	-3.595052
0.421892	0.05	-3.592578
0.422725	0.05	-3.591276
0.423558	0.05	-3.593750
0.424392	0.05	-3.593359
0.425225	0.05	-3.598047
0.426058	0.05	-3.595182
0.426892	0.05	-3.598307
0.427725	0.05	-3.596354
0.428558	0.05	-3.595833
0.429392	0.05	-3.593099
0.430225	0.05	-3.591797
0.431058	0.05	-3.589714
0.431892	0.05	-3.590885
0.432725	0.05	-3.589583
0.433558	0.05	-3.594271
0.434392	0.05	-3.594141
0.435225	0.05	-3.601042
0.436058	0.05	-3.601563
0.436892	0.05	-3.602995
0.437725	0.05	-3.596875
0.438558	0.05	-3.595443
0.439392	0.05	-3.592839
0.440225	0.05	-3.592188
0.441058	0.05	-3.590234
0.441892	0.05	-3.592708
0.442725	0.05	-3.595182
0.443558	0.05	-3.598828
0.444392	0.05	-3.597266
0.445225	0.05	-3.601172
0.446058	0.05	-3.600521
0.446892	0.05	-3.602734
0.447725	0.05	-3.599349
0.448558	0.05	-3.597786
0.449392	0.05	-3.596094
0.450225	0.05	-3.599479
0.451058	0.05	-3.601432
0.451892	0.05	-3.599219
0.452725	0.05	-3.596094
0.453558	0.05	-3.595703
0.454392	0.05	-3.596875
0.455225	0.05	-3.592318
0.456058	0.05	-3.587630
0.456892	0.05	-3.587500
0.457725	0.05	-3.588411
0.458558	0.05	-3.588151
0.459392	0.05	-3.586979
0.460225	0.05	-3.586328
0.461058	0.05	-3.589453
0.461892	0.05	-3.588281
0.462725	0.05	-3.589844
0.463558	0.05	-3.586979
0.464392	0.05	-3.586979
0.465225	0.05	-3.584245
0.466058	0.05	-3.587630
0.466892	0.05	-3.588672
0.467725	0.05	-3.591927
0.468558	0.05	-3.588802
0.469392	0.05	-3.585026
0.470225	0.05	-3.586328
0.471058	0.05	-3.589323
0.471892	0.05	-3.592057
0.472725	0.05	-3.586849
0.473558	0.05	-3.586979
0.474392	0.05	-3.588932
0.475225	0.05	-3.595052
0.476058	0.05	-3.591146
0.476892	0.05	-3.590365
0.477725	0.05	-3.588281
0.478558	0.05	-3.591797
0.479392	0.05	-3.590234
0.480225	0.05	-3.592708
0.481058	0.05	-3.588542
0.481892	0.05	-3.592057
0.482725	0.05	-3.588542
0.483558	0.05	-3.585807
0.484392	0.05	-3.582552
0.485225	0.05	-3.585286
0.486058	0.05	-3.589453
0.486892	0.05	-3.594661
0.487725	0.05	-3.593750
0.488558	0.05	-3.596615
0.489392	0.05	-3.599609
0.490225	0.05	-3.598698
0.491058	0.05	-3.600260
0.491892	0.05	-3.600391
0.492725	0.05	-3.603255
0.493558	0.05	-3.609375
0.494392	0.05	-3.603646
0.495225	0.05	-3.606641
0.496058	0.05	-3.601432
0.496892	0.05	-3.601432
0.497725	0.05	-3.598828
0.498558	0.05	-3.602474
0.499392	0.05	-3.603776
0.500225	0.05	-3.605208
0.501058	0.05	-3.599219
0.501892	0.05	-3.601953
0.502725	0.05	-3.600130
0.503558	0.05	-3.605078
0.504392	0.05	-3.608073
0.505225	0.05	-3.609245
0.506058	0.05	-3.608203
0.506892	0.05	-3.609635
0.507725	0.05	-3.610156
0.508558	0.05	-3.611328
0.509392	0.05	-3.607943
0.510225	0.05	-3.605339
0.511058	0.05	-3.602344
0.511892	0.05	-3.596745
0.512725	0.05	-3.598828
0.513558	0.05	-3.602604
0.514392	0.05	-3.610807
0.515225	0.05	-3.615625
0.516058	0.05	-3.614193
0.516892	0.05	-3.610417
0.517725	0.05	-3.605469
0.518558	0.05	-3.601172
0.519392	0.05	-3.601172
0.520225	0.05	-3.601432
0.521058	0.05	-3.606641
0.521892	0.05	-3.608073
0.522725	0.05	-3.606380
0.523558	0.05	-3.603776
0.524392	0.05	-3.599740
0.525225	0.05	-3.601693
0.526058	0.05	-3.601953
0.526892	0.05	-3.605078
0.527725	0.05	-3.605469
0.528558	0.05	-3.604688
0.529392	0.05	-3.599740
0.530225	0.05	-3.599089
0.531058	0.05	-3.599609
0.531892	0.05	-3.605339
0.532725	0.05	-3.606250
0.533558	0.05	-3.605208
0.534392	0.05	-3.601823
0.535225	0.05	-3.602995
0.536058	0.05	-3.603125
0.536892	0.05	-3.607161
0.537725	0.05	-3.608594
0.538558	0.05	-3.611979
0.539392	0.05	-3.608854
0.540225	0.05	-3.604297
0.541058	0.05	-3.601042
0.541892	0.05	-3.602734
0.542725	0.05	-3.601302
0.543558	0.05	-3.600781
0.544392	0.05	-3.597656
0.545225	0.05	-3.600521
0.546058	0.05	-3.601953
0.546892	0.05	-3.603385
0.547725	0.05	-3.602083
0.548558	0.05	-3.603255
0.549392	0.05	-3.602865
0.550225	0.05	-3.606120
0.551058	0.05	-3.605078
0.551892	0.05	-3.606120
0.552725	0.05	-3.603776
0.553558	0.05	-3.603255
0.554392	0.05	-3.604688
0.555225	0.05	-3.605469
0.556058	0.05	-3.603255
0.556892	0.05	-3.600651
0.557725	0.05	-3.596615
0.558558	0.05	-3.597656
0.559392	0.05	-3.595313
0.560225	0.05	-3.597266
0.561058	0.05	-3.595443
0.561892	0.05	-3.594141
0.562725	0.05	-3.590625
0.563558	0.05	-3.594010
0.564392	0.05	-3.598438
0.565225	0.05	-3.605469
0.566058	0.05	-3.603385
0.566892	0.05	-3.600651
0.567725	0.05	-3.597266
0.568558	0.05	-3.596094
0.569392	0.05	-3.599349
0.570225	0.05	-3.602214
0.571058	0.05	-3.608073
0.571892	0.05	-3.608333
0.572725	0.05	-3.606771
0.573558	0.05	-3.606250
0.574392	0.05	-3.606771
0.575225	0.05	-3.603125
0.576058	0.05	-3.599219
0.576892	0.05	-3.598177
0.577725	0.05	-3.600391
0.578558	0.05	-3.601953
0.579392	0.05	-3.601563
0.580225	0.05	-3.604948
0.581058	0.05	-3.607031
0.581892	0.05	-3.608854
0.582725	0.05	-3.608333
0.583558	0.05	-3.610807
0.584392	0.05	-3.607161
0.585225	0.05	-3.606641
0.586058	0.05	-3.601693
0.586892	0.05	-3.603255
0.587725	0.05	-3.601563
0.588558	0.05	-3.603516
0.589392	0.05	-3.603516
0.590225	0.05	-3.603516
0.591058	0.05	-3.601302
0.591892	0.05	-3.598438
0.592725	0.05	-3.600000
0.593558	0.05	-3.600260
0.594392	0.05	-3.603776
0.595225	0.05	-3.602995
0.596058	0.05	-3.605339
0.596892	0.05	-3.606120
0.597725	0.05	-3.603255
0.598558	0.05	-3.600000
0.599392	0.05	-3.597786
0.600225	0.05	-3.600391
0.601058	0.05	-3.600781
0.601892	0.05	-3.604557
0.602725	0.05	-3.602083
0.603558	0.05	-3.602995
0.604392	0.05	-3.598438
0.605225	0.05	-3.600130
0.606058	0.05	-3.597786
0.606892	0.05	-3.598438
0.607725	0.05	-3.595182
0.608558	0.05	-3.597135
0.609392	0.05	-3.591797
0.610225	0.05	-3.595313
0.611058	0.05	-3.593359
0.611892	0.05	-3.601172
0.612725	0.05	-3.608203
0.613558	0.05	-3.611068
0.614392	0.05	-3.609375
0.615225	0.05	-3.604557
0.616058	0.05	-3.599349
0.616892	0.05	-3.604297
0.617725	0.05	-3.603385
0.618558	0.05	-3.607943
0.619392	0.05	-3.609766
0.620225	0.05	-3.606250
0.621058	0.05	-3.610417
0.621892	0.05	-3.606771
0.622725	0.05	-3.613542
0.623558	0.05	-3.613411
0.624392	0.05	-3.617708
0.625225	0.05	-3.613542
0.626058	0.05	-3.617057
0.626892	0.05	-3.605729
0.627725	0.05	-3.608464
0.628558	0.05	-3.599609
0.629392	0.05	-3.607943
0.630225	0.05	-3.608854
0.631058	0.05	-3.613672
0.631892	0.05	-3.611458
0.632725	0.05	-3.612630
0.633558	0.05	-3.611068
0.634392	0.05	-3.615495
0.635225	0.05	-3.612109
0.636058	0.05	-3.614063
0.636892	0.05	-3.609505
0.637725	0.05	-3.608073
0.638558	0.05	-3.607682
0.639392	0.05	-3.611719
0.640225	0.05	-3.614063
0.641058	0.05	-3.615104
0.641892	0.05	-3.609896
0.642725	0.05	-3.611589
0.643558	0.05	-3.610938
0.644392	0.05	-3.609635
0.645225	0.05	-3.612109
0.646058	0.05	-3.611458
0.646892	0.05	-3.614974
0.647725	0.05	-3.615625
0.648558	0.05	-3.613281
0.649392	0.05	-3.612240
0.650225	0.05	-3.608854
0.651058	0.05	-3.607552
0.651892	0.05	-3.607292
0.652725	0.05	-3.607031
0.653558	0.05	-3.611589
0.654392	0.05	-3.614193
0.655225	0.05	-3.611589
0.656058	0.05	-3.609635
0.656892	0.05	-3.610156
0.657725	0.05	-3.612500
0.658558	0.05	-3.612891
0.659392	0.05	-3.612760
0.660225	0.05	-3.610677
0.661058	0.05	-3.611068
0.661892	0.05	-3.603385
0.662725	0.05	-3.592839
0.663558	0.05	-3.561589
0.664392	0.05	-3.504948
0.665225	0.05	-3.375130
0.666058	0.05	-3.093359
0.666892	0.05	-2.474870
0.667725	0.05	-1.190365
0.668558	0.05	1.354557
0.669392	0.05	6.086849
0.670225	0.05	14.401042
0.671058	0.05	28.232031
0.671892	0.05	50.252604
0.672725	0.05	83.916797
0.673558	0.05	133.566406
0.674392	0.05	204.295052
0.675225	0.05	301.866797
0.676058	0.05	432.348568
0.676892	0.05	601.852734
0.677725	0.05	815.724609
0.678558	0.05	1,078.004557
0.679392	0.05	1,390.385807
0.680225	0.05	1,751.817969
0.681058	0.05	2,156.957161
0.681892	0.05	2,596.706901
0.682725	0.05	3,057.873438
0.683558	0.05	3,524.332422
0.684392	0.05	3,977.856510
0.685225	0.05	4,400.437630
0.686058	0.05	4,777.039714
0.686892	0.05	5,095.849870
0.687725	0.05	5,349.344661
0.688558	0.05	5,534.247786
0.689392	0.05	5,649.859115
0.690225	0.05	5,699.601302
0.691058	0.05	5,690.378646
